Rk,Gtm,Date,Team,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9,Opp BatAge,Opp RpG,Opp BA,Opp OBP,Opp SLG,Opp OPS,Bullpen ERA,Bullpen WHIP,Bullpen SO9
1,1,Apr 8,BOS,@,NYY,"L,5-6",10,9,6,4,2,4,15,3,2,3.6,46,162,115,3,1,0,0,39,1,0,2,0,1,0,0,7,Laz Diaz,"N.Eovaldi (99-51), G.Whitlock (99-BSv), M.Strahm (99), H.Robles (99), J.Diekman (99-H), R.Brasier (99-BSv), K.Crawford (99-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
2,2,Apr 9,BOS,@,NYY,"L,2-4",8,4,4,4,0,3,5,2,0,4,30,109,68,0,0,0,0,27,0,0,0,0,0,0,0,4,Brian O'Nora,"N.Pivetta (99-46-L), A.Davis (99), H.Sawamura (99), P.Valdez (99)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
3,3,Apr 10,BOS,@,NYY,"W,4-3",9,11,3,3,0,4,9,0,1,3.67,41,170,105,3,2,1,0,36,2,0,0,0,0,0,2,6,Tripp Gibson,"T.Houck (99-36), R.Brasier (1), K.Crawford (1-W), M.Strahm (1-H), H.Robles (1-H), J.Diekman (1-Sv)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
4,4,Apr 11,BOS,@,DET,"L,1-3",8,8,3,3,0,3,10,1,0,3.6,35,145,96,3,1,0,0,31,2,0,0,0,1,0,0,6,Stu Scheurwater,"M.Wacha (99-56), M.Strahm (0), M.Barnes (99), A.Davis (1-L), R.Brasier (0), P.Valdez (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
5,5,Apr 12,BOS,@,DET,"W,5-3",9,5,3,3,0,2,6,0,0,3.48,33,112,85,1,0,0,0,31,3,0,0,0,0,0,0,3,Jeff Nelson,"R.Hill (99-44), H.Sawamura (2), G.Whitlock (3-W)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
6,6,Apr 13,BOS,@,DET,"W,9-7",9,11,7,7,0,3,12,3,1,4.08,42,194,128,8,2,0,0,38,1,0,0,0,0,0,0,6,CB Bucknor,"N.Eovaldi (4-56-W), M.Barnes (1), A.Davis (1), K.Crawford (2), J.Diekman (2-H), H.Robles (2-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
7,7,Apr 15,BOS,,MIN,"L,4-8",9,9,8,8,0,8,13,1,2,4.65,44,197,114,0,0,2,1,34,4,0,0,0,0,0,1,6,Jerry Layne,"N.Pivetta (5-30-L), P.Valdez (3), H.Sawamura (2), R.Brasier (3), A.Davis (1), M.Barnes (1)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
8,8,Apr 16,BOS,,MIN,"W,4-0",9,5,0,0,0,4,10,0,0,4.06,33,133,83,2,0,0,1,29,1,0,0,0,0,0,2,3,Hunter Wendelstedt,"T.Houck (5-66-W), M.Strahm (4), G.Whitlock (3)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
9,9,Apr 17,BOS,,MIN,"W,8-1",9,4,1,1,0,3,10,0,0,3.71,33,148,95,1,1,0,0,29,0,0,0,0,1,0,1,5,Chad Whitson,"M.Wacha (5-68), M.Strahm (0-W), R.Brasier (1-H), J.Diekman (3-H), A.Davis (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
10,10,Apr 18,BOS,,MIN,"L,3-8",9,9,8,8,0,7,6,2,0,4.15,42,165,102,3,1,1,0,35,0,0,1,0,0,0,1,4,,"R.Hill (5-36-L), P.Valdez (2), K.Crawford (4), H.Sawamura (2)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
